train_number,date, total_available
1101,11/1/2023,137
1102,11/1/2023,29
1493,11/1/2023,211
1494,11/1/2023,53
2081,11/1/2023,240
2082,11/1/2023,178
2083,11/1/2023,184
2084,11/1/2023,156
2085,11/1/2023,281
2086,11/1/2023,326
2087,11/1/2023,297
2088,11/1/2023,158
2089,11/1/2023,284
2090,11/1/2023,17
2093,11/1/2023,319
2094,11/1/2023,37
2411,11/1/2023,295
2412,11/1/2023,94
2413,11/1/2023,258
2414,11/1/2023,7
2423,11/1/2023,261
2424,11/1/2023,18
2435,11/1/2023,254
2436,11/1/2023,268
2451,11/1/2023,118
2452,11/1/2023,157
2453,11/1/2023,94
2454,11/1/2023,322
2779,11/1/2023,266
3283,11/1/2023,263
3284,11/1/2023,439
3686,11/1/2023,345
4011,11/1/2023,113
4012,11/1/2023,218
4031,11/1/2023,283
4032,11/1/2023,227
4053,11/1/2023,289
4054,11/1/2023,20
4115,11/1/2023,191
4116,11/1/2023,4
4201,11/1/2023,157
4202,11/1/2023,29
4203,11/1/2023,260
4204,11/1/2023,202
4601,11/1/2023,204
4602,11/1/2023,40
4603,11/1/2023,64
4604,11/1/2023,144
4727,11/1/2023,310
4728,11/1/2023,428
4741,11/1/2023,12
4742,11/1/2023,378
4853,11/1/2023,81
4854,11/1/2023,407
4857,11/1/2023,48
4858,11/1/2023,218
5305,11/1/2023,385
5306,11/1/2023,305
5649,11/1/2023,122
5650,11/1/2023,88
5697,11/1/2023,97
5698,11/1/2023,268
6001,11/1/2023,334
6002,11/1/2023,354
6003,11/1/2023,125
6004,11/1/2023,153
6005,11/1/2023,268
6006,11/1/2023,208
6007,11/1/2023,370
6008,11/1/2023,69
6009,11/1/2023,239
6010,11/1/2023,151
6011,11/1/2023,36
6012,11/1/2023,333
6201,11/1/2023,212
6202,11/1/2023,39
6215,11/1/2023,23
6216,11/1/2023,158
6228,11/1/2023,175
6301,11/1/2023,55
6302,11/1/2023,182
6346,11/1/2023,76
6501,11/1/2023,299
6502,11/1/2023,10
6535,11/1/2023,276
6536,11/1/2023,124
6591,11/1/2023,294
6592,11/1/2023,230
6593,11/1/2023,92
6594,11/1/2023,46
6595,11/1/2023,284
6596,11/1/2023,135
6617,11/1/2023,326
6618,11/1/2023,245
6621,11/1/2023,3
6622,11/1/2023,307
6837,11/1/2023,19
6838,11/1/2023,15
6839,11/1/2023,308
6840,11/1/2023,128
6948,11/1/2023,75
7003,11/1/2023,77
7004,11/1/2023,220
7105,11/1/2023,216
7106,11/1/2023,110
7143,11/1/2023,5
7144,11/1/2023,225
7301,11/1/2023,151
7403,11/1/2023,237
7404,11/1/2023,296
7603,11/1/2023,12
7604,11/1/2023,432
7605,11/1/2023,95
7606,11/1/2023,262
7607,11/1/2023,246
7608,11/1/2023,341
8001,11/1/2023,310
8002,11/1/2023,27
8004,11/1/2023,153
8017,11/1/2023,50
8018,11/1/2023,13
8043,11/1/2023,5
8051,11/1/2023,222
8052,11/1/2023,224
8055,11/1/2023,458
8056,11/1/2023,10
8060,11/1/2023,368
8113,11/1/2023,31
8114,11/1/2023,291
8469,11/1/2023,241
8470,11/1/2023,250
8471,11/1/2023,235
8472,11/1/2023,180
8565,11/1/2023,147
8566,11/1/2023,10
8567,11/1/2023,184
8568,11/1/2023,137
8569,11/1/2023,36
8785,11/1/2023,24
8786,11/1/2023,149
8787,11/1/2023,187
8788,11/1/2023,41
