train_number,train_name,from_station_code,departure,to_station_code,arrival,distance,duration_hours,duration_minutes,sleeper,chair_car,first_class,first_ac,second_ac,third_ac,return_train,train_type,total_seats
1101,Mumbai_ltt_gwalior_(weekly)_special,LTT,15:50:00,GWL,15:35:00,1216,23,45,1,0,0,0,0,1,1102,DEMU,303
1102,Gwalior_mumbai_ltt_(weekly)_special,GWL,15:00:00,LTT,12:05:00,1216,21,5,1,0,0,0,0,1,1101,DEMU,448
1493,Hubli_bijapur_special,UBL,17:15:00,BJP,23:10:00,249,5,55,1,0,0,0,0,0,1494,DEMU,420
1494,Bijapur_hubli_special,BJP,0:05:00,UBL,6:10:00,249,6,5,1,0,0,0,0,0,1493,DEMU,363
2081,Jaipur_luharu_special,JP,18:25:00,LHU,1:00:00,229,6,35,0,0,0,0,0,0,2082,SF,415
2082,Loharu_jaipur_passenger_spl_(mg),LHU,2:40:00,JP,9:35:00,229,6,55,0,0,0,0,0,0,2083,PASS,345
2083,Jaipur_loharu_mg_passenger_special,JP,23:30:00,LHU,6:10:00,229,6,40,0,0,0,0,0,0,2084,PASS,464
2084,Loharu_jaipur_passenger_spl_(mg),LHU,23:10:00,JP,5:45:00,230,6,35,0,0,0,0,0,0,2083,PASS,411
2085,Jaipur_churu_passenger_spl_(mg),JP,16:55:00,CUR,22:15:00,198,5,20,0,0,0,0,0,0,2086,PASS,469
2086,Churu_jaipur_passenger_spl_(mg),CUR,5:15:00,JP,11:05:00,198,5,50,0,0,0,0,0,0,2085,SF,438
2087,Jaipur_churu_passenger_spl_(mg),JP,20:30:00,CUR,3:45:00,198,7,15,0,0,0,0,0,0,2086,EXP,495
2088,Churu_jaipur_passenger_spl_(mg),CUR,3:05:00,JP,8:15:00,198,5,10,0,0,0,0,0,0,2087,EXP,312
2089,Sikar_churu_passenger_spl_(mg),SIKR,11:05:00,CUR,13:35:00,90,2,30,0,0,0,0,0,0,2090,EXP,459
2090,Sikar_churu_passenger_spl_(mg),CUR,14:00:00,SIKR,16:05:00,90,2,5,0,0,0,0,0,0,2089,EXP,404
2093,Jaipur_loharu_passenger,JP,7:45:00,LHU,14:40:00,229,6,55,0,0,0,0,0,0,2094,EXP,324
2094,Loharu_jaipur_passenger_spl_(mg),LHU,12:40:00,JP,19:30:00,230,6,50,0,0,0,0,0,0,2093,EXP,453
2411,Ratangarh_sardarshahar_passenger,RTGH,11:30:00,SRDR,13:10:00,46,1,40,0,0,0,0,0,0,2412,EXP,388
2412,Sardarshahr_ratangarh_passenger_special,SRDR,13:40:00,RTGH,15:20:00,46,1,40,0,0,0,0,0,0,2411,MAIL,317
2413,Sadulpur_shri_ganganagar_passenger_special,SDLP,2:30:00,SGNR,8:15:00,246,5,45,0,0,0,0,0,0,2414,EXP,479
2414,Sri_ganganagar_sadulpur_passenger_holiday_special,SGNR,20:05:00,SDLP,1:40:00,246,5,35,0,0,0,0,0,0,2413,EXP,382
2423,Dibrugarh_guwahati_rajdhani_express,DBRT,20:15:00,GHY,6:15:00,564,10,0,0,0,0,0,0,1,2424,EXP,485
2424,Guwahati_dibrugarh_rajdhani_express,GHY,18:05:00,DBRT,5:00:00,564,10,55,0,0,0,0,0,1,2423,EXP,470
2435,Dibrugarh_guwahati_rajdhani_express,DBRT,19:00:00,GHY,5:05:00,564,10,5,0,0,0,0,0,1,2436,EXP,315
2436,Guwahati_dibrugarh_rajdhani_express,GHY,19:45:00,DBRT,6:25:00,564,10,40,0,0,0,0,0,1,2435,EXP,457
2451,Kalka_shimla_holiday_special,KLK,7:00:00,SML,12:10:00,95,5,10,0,0,0,0,0,0,2452,EXP,338
2452,Shimla_kalka_holiday_special,SML,15:50:00,KLK,21:10:00,96,5,20,0,0,0,0,0,0,2451,EXP,339
2453,Kalka_shimla_holiday_special,KLK,12:45:00,SML,18:10:00,95,5,25,0,0,0,0,0,0,2452,EXP,379
2454,Shimla_kalka_holiday_special,SML,9:25:00,KLK,15:20:00,96,5,55,0,0,0,0,0,0,2453,EXP,354
2779,Vasco_da_gama_bangalore_link_express,VSG,15:10:00,SBC,7:35:00,705,16,25,1,0,0,0,0,1,,EXP,443
3283,Rajendra_nagar_tatanagar_special,RJPB,23:15:00,TATA,10:05:00,496,10,50,1,0,0,0,1,1,3284,EXP,488
3284,Tatanagar_rajendra_nagar_special,TATA,11:00:00,RJPB,22:00:00,496,11,0,1,0,0,0,1,1,3283,EXP,447
3686,Delhi_gaya_s,DLI,19:10:00,GAYA,9:45:00,972,14,35,1,0,0,0,1,1,3685,EXP,393
4011,Sainagar_shirdi_h._nizamuddin_(weekly)_special,SNSI,10:00:00,NZM,12:55:00,1361,26,55,1,0,0,0,1,1,4012,EXP,441
4012,H._nizamuddin_sainagar_shirdi_(weekly)_special,NZM,0:20:00,SNSI,22:15:00,1360,21,55,1,0,0,0,1,1,4011,EXP,373
4031,Delhi_panipat_special,DLI,5:30:00,PNP,8:20:00,89,2,50,1,0,0,0,1,1,4032,EXP,494
4032,Panipat_delhi_special,PNP,18:30:00,DLI,21:00:00,89,2,30,1,0,0,0,1,1,4031,EXP,322
4053,Anand_vihar_t._jammu_tawi_special,ANVT,23:15:00,JAT,11:50:00,633,12,35,1,0,0,0,0,0,4054,EXP,436
4054,Jammu_tawi_anand_vihar_special,JAT,17:30:00,ANVT,5:40:00,633,12,10,1,0,0,0,0,0,4053,EXP,480
4115,Allahabad_mumbai_ltt_(weekly)_special,ALD,10:20:00,LTT,14:35:00,1533,28,15,1,0,0,0,0,1,4116,EXP,417
4116,Mumbai_ltt_allahabad_special,LTT,15:50:00,ALD,21:50:00,1533,30,0,1,0,0,0,0,1,4115,EXP,395
4201,Lucknow_new_delhi_special,LKO,22:45:00,NDLS,8:20:00,493,9,35,1,0,0,0,1,1,4202,EXP,457
4202,New_delhi_lucknow_tri_weekly_special,NDLS,23:55:00,LKO,9:45:00,493,9,50,1,0,0,0,1,1,4201,EXP,335
